Entity,Code,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
South Korea,KOR,0.25928199999999996,0.565409,0.35951857142857147,3.7864065714285715,0.8715320714285715,2.917453535714286,2.071022
South Sudan,SSD,0.1678169642857143,0.6209667142857143,0.13125864285714287,3.4725301785714286,0.4920278928571428,3.6480724285714285,1.5618621785714286
Spain,ESP,0.28054,0.9686741785714286,0.6646372857142857,5.1346916785714285,1.3392776785714287,3.5165007142857143,0.854179
Sri Lanka,LKA,0.22743757142857143,0.5618769285714286,0.12826425,3.3129633928571427,0.6634913571428571,3.609633892857143,1.0451569642857144
Sudan,SDN,0.171872,0.7413076428571428,0.12490646428571428,4.8522706428571425,1.2507535714285714,3.783116035714286,0.6437488928571428
Suriname,SUR,0.18427703571428572,0.8634367857142857,0.2715047857142857,4.522917571428571,0.6839914642857143,3.8962790357142856,1.7368898571428573
Swaziland,SWZ,0.16975685714285715,0.6053930714285715,0.17795935714285713,3.4733426428571432,0.7707983928571428,3.92404025,1.7128159642857141
Sweden,SWE,0.2794068571428571,1.0606185357142857,0.5190086785714285,5.316375607142858,0.6007381071428571,4.578979928571429,1.8101798928571429
Switzerland,CHE,0.26118507142857145,0.9528429642857142,0.5521625,5.345407642857142,1.1389881785714286,3.9554245714285714,1.416292285714286
Syria,SYR,0.18704753571428573,0.8053841428571429,0.14520239285714287,4.931812,1.329898,3.5686295,0.5962239285714286
Taiwan,TWN,0.25191146428571426,0.35037771428571424,0.210753,3.425401214285714,0.8343669642857143,2.967115642857143,1.8694512499999998
Tajikistan,TJK,0.18004457142857144,0.6623139285714286,0.11242364285714286,2.5128931785714284,0.44280182142857144,2.5921381785714286,2.2157560714285713
Tanzania,TZA,0.16066192857142858,0.6206704642857143,0.11203360714285715,3.5845345714285712,0.5060429285714286,3.7100646071428574,1.5201316428571428
Thailand,THA,0.22608942857142858,0.53771975,0.14930657142857143,3.295867571428571,0.8308157857142857,3.079806214285714,0.8877485714285714
Timor,TLS,0.19597925,0.4991885357142857,0.09396110714285714,3.1977886071428574,0.6080956071428572,3.2284844285714285,0.7947098214285714
Togo,TGO,0.16367982142857143,0.6272322857142857,0.10494014285714286,2.8995460357142853,0.4497204642857143,3.627145642857143,0.9620906785714285
Tonga,TON,0.23334857142857143,0.46095167857142855,0.11940696428571429,3.278736107142857,0.7390660357142858,2.917613857142857,1.0906288214285715
Trinidad and Tobago,TTO,0.17393589285714287,0.893952,0.33255375000000004,4.612306142857143,0.7048342857142857,3.378559107142857,1.6347041071428572
Tunisia,TUN,0.19506839285714286,0.8316574285714287,0.17768735714285716,5.014998821428571,1.482889,3.908149392857143,0.6393545714285714
Turkey,TUR,0.21693107142857143,0.8392862142857143,0.25627357142857143,3.820522214285714,1.3736762857142857,3.806277464285714,0.7523362857142857
Turkmenistan,TKM,0.18894307142857142,0.6622459285714285,0.16280853571428572,2.556591285714286,0.48306,2.8725138214285715,2.6447287499999996
Uganda,UGA,0.15570682142857145,0.605509,0.10358885714285715,3.470005607142857,0.5331044285714286,5.227816642857142,1.2904005
Ukraine,UKR,0.1891702142857143,0.6850721428571429,0.16150453571428572,2.92858,0.6548691428571428,4.325317928571429,5.059725928571429
United Arab Emirates,ARE,0.20963099999999998,0.8031561428571428,0.2791036785714286,4.251286785714286,2.6311261428571426,2.966001392857143,0.7658657857142857
United Kingdom,GBR,0.25254935714285714,1.0869685,0.5074879285714285,4.633038464285714,1.6710281071428572,4.172531464285714,1.7015268928571428
United States,USA,0.3381166785714286,0.6537100357142858,0.5136579285714286,6.741583785714285,2.8447133928571424,4.744654964285714,2.0466428214285712
United States Virgin Islands,VIR,0.21568685714285715,0.9335793214285715,0.44420135714285713,4.715978,0.8111583214285715,2.879278285714286,2.167549107142857
Uruguay,URY,0.19668892857142858,0.7752629285714285,0.35308771428571434,6.265410464285714,0.9044836071428571,3.4425143214285714,1.0650855714285714
Uzbekistan,UZB,0.1835805357142857,0.6640329642857142,0.13205953571428572,2.5419294642857144,0.44989157142857145,2.922481428571429,2.199447357142857
Vanuatu,VUT,0.21336989285714286,0.42575742857142856,0.1021674642857143,3.1936068214285713,0.6787106071428572,3.145903535714286,1.1894422857142857
Venezuela,VEN,0.2039742142857143,0.7758018571428572,0.27211703571428575,2.856070785714286,0.6153388571428572,2.8022170357142855,1.3537285000000001
Vietnam,VNM,0.23355353571428572,0.5453234642857143,0.10264242857142858,2.0352639285714287,0.6488211428571429,2.9105821428571432,1.5975603214285716
World,OWID_WRL,0.2540470357142857,0.5900334642857142,0.19005285714285716,3.7920959285714284,0.9140034285714286,3.504355,1.4528067142857142
Yemen,YEM,0.17171246428571427,0.7333025,0.12969710714285715,4.833025321428572,1.2436915000000002,4.0049467142857145,0.6318488214285714
Zambia,ZMB,0.16091585714285714,0.6023818214285714,0.1235594642857143,3.5609792857142857,0.5105224642857144,3.5539405,1.639368357142857
Zimbabwe,ZWE,0.15975082142857142,0.6074223571428572,0.13100207142857143,3.0917695357142856,0.7487656428571429,3.1030404285714286,1.4880512857142858
